Name,Mileage,Rating,Review Count,Price
2021 Mercedes-Benz A-Class A 220 4MATIC,"29,636 mi.",3.9,"1,800 ","$30,900"
2022 Mercedes-Benz AMG SL 63 Base,"5,540 mi.",4.7,"1,239 ","$139,999"
2022 Mercedes-Benz AMG SL 63 Base,"4,890 mi.",4.7,"1,239 ","$132,999"
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"29,746 mi.",4.8,752 ,"$58,587"
2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"32,631 mi.",5.0,"1,502 ","$95,990"
2022 Mercedes-Benz AMG E 53 Base 4MATIC,"3,573 mi.",4.7,"1,239 ","$74,999"
2022 Mercedes-Benz AMG SL 63 Base,"1,254 mi.",4.7,"1,239 ","$130,999"
2023 Mercedes-Benz GLE 350 Base 4MATIC,"23,071 mi.",3.2,98 ,"$55,995"
2021 Mercedes-Benz AMG GT C,"15,755 mi.",4.8,902 ,"$71,999"
2023 Mercedes-Benz AMG CLA 45 Base 4MATIC,"2,910 mi.",4.5,344 ,"$62,975"
2021 Mercedes-Benz AMG GT 53 Base,"17,499 mi.",4.7,"1,594 ","$82,895"
2023 Mercedes-Benz EQB 250 Base,"3,159 mi.",4.6,585 ,"$50,226"
2019 Mercedes-Benz CLA 250 Base 4MATIC,"61,419 mi.",4.0,377 ,"$22,495"
2023 Mercedes-Benz GLE 450 GLE 450,"15,009 mi.",4.8,899 ,"$63,998"
2020 Mercedes-Benz SL 450 SL 450,"14,021 mi.",4.3,352 ,"$65,024"
2023 Mercedes-Benz EQE 350 Base 4MATIC,"3,083 mi.",4.9,"2,166 ","$69,771"
2023 Mercedes-Benz GLC 300 Base 4MATIC,"4,425 mi.",4.0,377 ,"$51,995"
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"12,705 mi.",4.5,991 ,"$57,877"
2021 Mercedes-Benz AMG GLC 43 4MATIC Coupe,"20,431 mi.",4.7,"1,424 ","$53,977"
2017 Mercedes-Benz SLC 300 Base,"61,614 mi.",4.5,"1,050 ","$22,498"
2021 Mercedes-Benz A-Class A 220,"29,909 mi.",,150 ,"$28,784"
2020 Mercedes-Benz SL 450 Base,"12,708 mi.",4.7,"1,948 ","$67,800"
2020 Mercedes-Benz GLE 450 4MATIC,"44,343 mi.",3.8,146 ,"$42,595"
2023 Mercedes-Benz EQS 450+ 450,"10,714 mi.",4.0,526 ,"$74,788"
2023 Mercedes-Benz AMG CLA 45 AMG CLA 45 4MATIC,"7,709 mi.",4.3,352 ,"$58,770"
2022 Mercedes-Benz AMG CLA 45 Base 4MATIC,"28,446 mi.",4.7,"1,371 ","$53,690"
2023 Mercedes-Benz AMG CLA 35 Base 4MATIC,"4,559 mi.",4.9,"2,118 ","$46,900"
2019 Mercedes-Benz CLS 450 Base,"38,471 mi.",4.8,"1,094 ","$38,996"
2024 Mercedes-Benz GLE 350 Base 4MATIC,"6,110 mi.",4.7,192 ,"$69,306"
2019 Mercedes-Benz CLS 450 Base 4MATIC,"55,090 mi.",4.6,716 ,"$39,442"
2024 Mercedes-Benz GLS 580 Base 4MATIC,"8,115 mi.",4.6,483 ,"$112,749"
2021 Mercedes-Benz AMG CLS 53 4MATIC,"31,574 mi.",4.8,"1,291 ","$57,900"
2023 Mercedes-Benz EQB 250 250 4D Sport Utility,"2,236 mi.",4.7,94 ,"$49,995"
2022 Mercedes-Benz Maybach S 580 4MATIC,"11,489 mi.",4.7,662 ,"$153,722"
2023 Mercedes-Benz GLB 250 Base,"7,795 mi.",4.3,352 ,"$43,855"
2020 Mercedes-Benz GLS 450 Base 4MATIC,"39,881 mi.",,37 ,"$50,563"
2019 Mercedes-Benz AMG E 63 S 4MATIC,"18,398 mi.",4.7,"2,931 ","$74,887"
2020 Mercedes-Benz GLE 580 4MATIC,"15,029 mi.",4.7,662 ,"$59,413"
2022 Mercedes-Benz AMG E 53 Base 4MATIC,"9,795 mi.",4.8,"2,468 ","$68,983"
2021 Mercedes-Benz CLS 450 Base 4MATIC,"37,405 mi.",4.2,821 ,"$46,300"
2019 Mercedes-Benz AMG C 63 S,"32,905 mi.",4.5,344 ,"$62,421"
2022 Mercedes-Benz AMG G 63 4MATIC,"16,044 mi.",3.0,33 ,"$198,000"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"58,175 mi.",3.9,"1,800 ","$36,900"
2021 Mercedes-Benz AMG GLE 53 Base,"46,859 mi.",4.5,344 ,"$62,292"
2019 Mercedes-Benz Sprinter 3500 144 WB ROOF,"69,676 mi.",,50 ,"$45,991"
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"21,826 mi.",4.8,788 ,"$50,299"
2019 Mercedes-Benz AMG S 63 Base 4MATIC,"53,331 mi.",4.4,"1,231 ","$98,984"
2023 Mercedes-Benz GLE 450 4MATIC,"15,142 mi.",,15 ,"$65,992"
2024 Mercedes-Benz GLE 450 Plug-In Hybrid 4MATIC,"3,518 mi.",4.7,244 ,"$77,700"
2023 Mercedes-Benz GLE 450 4MATIC,"14,929 mi.",,15 ,"$65,514"
2021 Mercedes-Benz GLS 450 4MATIC,"37,995 mi.",,150 ,"$54,660"
2021 Mercedes-Benz G-Class G 550 4MATIC,"22,646 mi.",4.5,991 ,"$143,554"
2020 Mercedes-Benz SL 450 Base,"12,708 mi.",4.7,"1,948 ","$67,800"
2020 Mercedes-Benz GLS 450 Base 4MATIC,"36,526 mi.",4.7,"2,891 ","$54,000"
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"34,707 mi.",4.9,"2,783 ","$57,463"
2021 Mercedes-Benz AMG GT 53 Base,"17,198 mi.",4.3,419 ,"$84,997"
2023 Mercedes-Benz EQS 450+ 450,"10,625 mi.",4.0,526 ,"$74,377"
2023 Mercedes-Benz AMG C 43 Base 4MATIC,"4,309 mi.",4.7,"1,372 ","$57,900"
2023 Mercedes-Benz AMG CLA 35 4MATIC,"13,665 mi.",4.7,192 ,"$49,913"
2016 Mercedes-Benz GL-Class GL 450 4MATIC,"68,216 mi.",4.8,894 ,"$21,082"
2023 Mercedes-Benz G-Class G 550 4MATIC,"25,277 mi.",4.5,991 ,"$161,775"
2021 Mercedes-Benz AMG GT 53 Base,"30,865 mi.",4.3,"1,491 ","$79,711"
2017 Mercedes-Benz AMG C 63 S,"46,460 mi.",4.9,"4,585 ","$48,500"
2020 Mercedes-Benz GLS 450 Base 4MATIC,"45,089 mi.",3.9,"1,800 ","$50,900"
2023 Mercedes-Benz Metris Base,145 mi.,,1 ,"$39,950"
2023 Mercedes-Benz Metris Base,"12,718 mi.",4.6,483 ,"$54,018"
2021 Mercedes-Benz AMG A 35 Base,"25,449 mi.",4.2,344 ,"$38,963"
2023 Mercedes-Benz EQS 580 Base 4MATIC,"3,937 mi.",4.9,"2,166 ","$107,552"
2017 Mercedes-Benz SL 550 SL550,"40,531 mi.",4.6,"1,899 ","$50,595"
2021 Mercedes-Benz GLA 250 Base 4MATIC,"30,790 mi.",,1 ,"$29,999"
2020 Mercedes-Benz AMG E 53 4MATIC,"38,052 mi.",4.3,112 ,"$47,562"
2022 Mercedes-Benz GLE 350 Base,"37,955 mi.",,15 ,"$50,888"
2020 Mercedes-Benz AMG S 63 Base 4MATIC,"20,328 mi.",4.8,"1,735 ","$95,981"
2019 Mercedes-Benz AMG GT 63 S 4-Door,"25,850 mi.",4.3,"1,491 ","$98,555"
2024 Mercedes-Benz GLC 300 Base,"2,018 mi.",4.0,526 ,"$57,445"
2019 Mercedes-Benz AMG GT 63 4-Door,"17,046 mi.",4.9,"2,516 ","$94,995"
2023 Mercedes-Benz GLB 250 Base,"7,577 mi.",4.3,352 ,"$43,105"
2016 Mercedes-Benz Maybach S S 600,"49,565 mi.",4.5,819 ,"$55,998"
2018 Mercedes-Benz S-Class S 450,"40,020 mi.",,12 ,"$41,000"
2023 Mercedes-Benz GLA 250 Base,"4,188 mi.",,150 ,"$39,237"
2023 Mercedes-Benz E-Class E 350 4MATIC,"10,208 mi.",,28 ,"$58,798"
2021 Mercedes-Benz A-Class A 220 4MATIC,"12,829 mi.",,79 ,"$30,880"
2020 Mercedes-Benz A-Class A 220 4MATIC,"48,598 mi.",,0 ,"$26,499"
2020 Mercedes-Benz GLC 300 Base 4MATIC,"39,165 mi.",5.0,98 ,"$33,497"
2022 Mercedes-Benz Maybach S 580 4MATIC,"6,488 mi.",4.9,"1,411 ","$177,595"
2016 Mercedes-Benz AMG S AMG S 63 4MATIC,"26,270 mi.",4.5,819 ,"$69,998"
2024 Mercedes-Benz AMG GLE 63 S,"5,742 mi.",4.3,419 ,"$120,997"
2020 Mercedes-Benz G-Class G 550 4MATIC,"10,148 mi.",,1 ,"$142,000"
2023 Mercedes-Benz EQB 250 Base,"7,145 mi.",4.8,"1,018 ","$48,000"
2021 Mercedes-Benz GLS 580 Base 4MATIC,"31,248 mi.",4.6,"1,018 ","$73,998"
2023 Mercedes-Benz GLE 450 4MATIC,"15,151 mi.",,15 ,"$65,444"
2023 Mercedes-Benz GLE 450 GLE 450,"13,576 mi.",4.8,899 ,"$69,997"
2020 Mercedes-Benz AMG GT R,"8,198 mi.",4.9,"4,585 ","$157,500"
2023 Mercedes-Benz CLA 250 Base,"6,282 mi.",4.8,"1,735 ","$45,705"
2021 Mercedes-Benz AMG GT 63 4-Door,"12,007 mi.",4.3,"1,491 ","$114,750"
2022 Mercedes-Benz E-Class E 350,"37,992 mi.",4.8,902 ,"$41,948"
2023 Mercedes-Benz AMG SL 43 4MATIC+,"1,053 mi.",4.7,192 ,"$99,805"
2023 Mercedes-Benz Metris Base,"1,549 mi.",,1 ,"$39,950"
2023 Mercedes-Benz AMG GLC 43 4MATIC Coupe,"10,320 mi.",4.7,192 ,"$67,910"
2023 Mercedes-Benz AMG C 43 Base 4MATIC,"6,889 mi.",4.6,716 ,"$60,312"
2019 Mercedes-Benz AMG GLE 63 S 4MATIC Coupe,"44,003 mi.",4.3,419 ,"$58,997"
2020 Mercedes-Benz E-Class 4MATIC,"32,608 mi.",4.8,902 ,"$35,824"
2023 Mercedes-Benz GLC 300 Base 4MATIC,"3,758 mi.",4.0,377 ,"$55,995"
2024 Mercedes-Benz GLE 350 Base 4MATIC,"5,538 mi.",,543 ,"$70,991"
2023 Mercedes-Benz AMG GLE 53 Base,"25,673 mi.",4.7,"1,371 ","$86,690"
2020 Mercedes-Benz GLS 450 Base 4MATIC,"45,089 mi.",3.9,"1,800 ","$50,900"
2023 Mercedes-Benz AMG CLA 35 Base 4MATIC,"10,877 mi.",,15 ,"$49,400"
2023 Mercedes-Benz EQB 350 4MATIC,"2,336 mi.",3.4,468 ,"$60,994"
2019 Mercedes-Benz AMG GLC 63 Base 4MATIC,"16,980 mi.",4.5,"2,057 ","$53,922"
2024 Mercedes-Benz GLE 350 Base 4MATIC,"8,213 mi.",4.3,352 ,"$67,585"
2022 Mercedes-Benz AMG C 43 Base 4MATIC,"7,135 mi.",4.6,716 ,"$56,940"
2021 Mercedes-Benz GLS 580 Base 4MATIC,"53,509 mi.",4.6,417 ,"$62,704"
2023 Mercedes-Benz AMG G 63 4MATIC,"6,061 mi.",4.9,274 ,"$209,995"
2018 Mercedes-Benz SL 450 Base,"18,458 mi.",4.3,443 ,"$55,000"
2015 Mercedes-Benz S-Class S 550 4MATIC,"69,897 mi.",4.7,"1,371 ","$41,690"
2023 Mercedes-Benz GLB 250 Base,"5,192 mi.",4.9,"2,166 ","$44,744"
2020 Mercedes-Benz SL 450 Base,"8,120 mi.",4.6,981 ,"$65,999"
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC,"48,608 mi.",4.8,899 ,"$49,983"
2023 Mercedes-Benz AMG GLE 53 Base,"14,967 mi.",4.7,"1,371 ","$87,390"
2020 Mercedes-Benz Maybach S 650 Base,"35,788 mi.",4.6,585 ,"$111,326"
2016 Mercedes-Benz AMG S AMG S 63 4MATIC,"19,821 mi.",4.8,"1,291 ","$68,500"
2023 Mercedes-Benz GLE 450 4MATIC,"18,901 mi.",,15 ,"$67,515"
2022 Mercedes-Benz A-Class A 220 4MATIC,"10,605 mi.",4.6,696 ,"$33,999"
2020 Mercedes-Benz A-Class A 220 4MATIC,"11,770 mi.",4.8,"1,354 ","$31,293"
2023 Mercedes-Benz GLE 450 GLE 450,"16,147 mi.",4.8,899 ,"$69,997"
2022 Mercedes-Benz AMG GT 53 Base,"6,149 mi.",4.7,"1,239 ","$99,999"
2024 Mercedes-Benz GLE 450 Plug-In Hybrid Base 4MATIC,"4,354 mi.",3.9,"1,800 ","$78,900"
2021 Mercedes-Benz AMG GLB 35 Base,"53,699 mi.",4.6,266 ,"$36,880"
2023 Mercedes-Benz GLB 250 Base,"6,419 mi.",4.7,110 ,"$42,499"
2016 Mercedes-Benz GLC-Class GLC 300,"47,533 mi.",4.6,"1,018 ","$20,999"
2023 Mercedes-Benz Sprinter 2500 Standard Roof,"15,492 mi.",4.8,752 ,"$74,988"
2020 Mercedes-Benz CLA 250 Base,"48,928 mi.",,1 ,"$28,000"
2021 Mercedes-Benz A-Class A 220 4MATIC,"45,105 mi.",4.7,316 ,"$26,540"
2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"32,001 mi.",4.8,"2,468 ","$94,984"
2023 Mercedes-Benz AMG E 53 Base 4MATIC,"1,847 mi.",4.7,"2,879 ","$86,975"
2023 Mercedes-Benz AMG E 53 4MATIC,"4,389 mi.",4.8,527 ,"$77,000"
2023 Mercedes-Benz EQB 350 Base 4MATIC,"3,526 mi.",4.7,"1,372 ","$53,900"
2023 Mercedes-Benz AMG GLE 63 S,"13,740 mi.",4.3,419 ,"$112,997"
2023 Mercedes-Benz C-Class C 300 4MATIC,"4,484 mi.",4.6,696 ,"$46,888"
2023 Mercedes-Benz GLS 580 4MATIC,"2,505 mi.",4.4,297 ,"$97,397"
2023 Mercedes-Benz EQB 350 Base 4MATIC,"2,027 mi.",4.7,"2,308 ","$49,777"
2023 Mercedes-Benz CLA 250 Base 4MATIC,"1,264 mi.",,1 ,"$41,200"
2023 Mercedes-Benz GLB 250 Base,"7,563 mi.",4.6,"1,915 ","$43,777"
2023 Mercedes-Benz AMG E 53 E 53 AMG,"2,435 mi.",,,"$68,398"
2018 Mercedes-Benz AMG E 63 S 4MATIC,"19,454 mi.",5.0,"1,502 ","$73,990"
2019 Mercedes-Benz AMG E 53 Base 4MATIC,"8,257 mi.",,,"$49,500"
2023 Mercedes-Benz AMG GLB 35 Base,"3,676 mi.",4.4,"2,963 ","$48,846"
2023 Mercedes-Benz GLB 250 Base 4MATIC,"2,900 mi.",3.9,"1,800 ","$45,900"
2022 Mercedes-Benz AMG GT 53 Base,"1,533 mi.",4.4,"2,963 ","$93,888"
2024 Mercedes-Benz C-Class C 300 4MATIC,"2,195 mi.",4.6,696 ,"$47,222"
2021 Mercedes-Benz CLA 250 Base 4MATIC,"29,414 mi.",4.2,862 ,"$33,951"
2020 Mercedes-Benz AMG CLS 53 Base 4MATIC,"29,065 mi.",4.5,344 ,"$59,900"
2020 Mercedes-Benz GLC 300 Base 4MATIC,"16,340 mi.",4.7,29 ,"$37,650"
2023 Mercedes-Benz EQE 350+ Base,"5,848 mi.",,15 ,"$59,700"
2020 Mercedes-Benz GLC 300 Base 4MATIC,"49,726 mi.",4.8,902 ,"$27,412"
2023 Mercedes-Benz Sprinter 2500 Standard Roof,"31,830 mi.",4.7,662 ,"$57,453"
2023 Mercedes-Benz GLB 250 Base,"15,393 mi.",4.8,894 ,"$44,196"
2020 Mercedes-Benz AMG GLC 43 Base 4MATIC,"39,115 mi.",5.0,"1,502 ","$45,551"
2023 Mercedes-Benz GLB 250 Base,"10,827 mi.",4.6,"1,915 ","$39,864"
2022 Mercedes-Benz GLE 350 Base,"72,646 mi.",,15 ,"$41,929"
2023 Mercedes-Benz GLB 250 Base,"7,633 mi.",4.6,"1,915 ","$44,777"
2021 Mercedes-Benz A-Class A 220 4MATIC,"16,385 mi.",,37 ,"$30,400"
