"published_date","rating","type","helpful_votes","title","text"
"2024-03-28T17:44:04-04:00","1","review","0","BAD SERVICE AND BAD HOSPITALITY","From their side my baggage is broken but still not get a baggage claim 
Already plenty of time mailed but their response within 3 weeks it will be to my account but its not 
Aulful service
Staff 0"
"2024-03-28T17:24:01-04:00","1","review","0","AI 188 and AI 187 flight nightmare !","I took AI 188 noon -9th March 2024 - it was delayed left 1.30pm - I missed my connecting flight to at 2.15 to ATQ -Amritsar.
Air India booked me on air India flight leaving next day at 5 AM to Amritsar. I could not handle a wait at DEL air port 15 hrs. 
I took a tax to my location in Punjab - took 8 hrs to my hotel and taxi cost me 12,000 rupees.
 
Nightmare  continue on my return flight - Took AI 480 from Amritsar to Del - 2300 - AI agent informed me at Amritsar gate , that MY connecting flight at AI 187 -26th Mar-2024, DEL  to YYZ Toronto has been delayed -15 hrs - left 16.40 hrs and arrived at YYZ -Toronto on time at 10.30PM. 
 
Its was hell at DEL airport while waiting 15 hrs...  Landed - My baggage one suite case was missing - took a day to log with air India baggage lost /missing. 
Its been 3 days no resolution, i am informed it can take 26 days to find my luggage- suitcase.

Past 10 years on Business - have taken over 900 flights and Air India is the worst air line in the world , that my rating."
"2024-03-28T16:31:49-04:00","1","review","0","worst airline to travel dont waste ur money","one of worst flight to fly with book one way last minute ticket to india spend double price first the flight i supposed to travelled got canceled and they book my next day flight which got no entertainment system no hot food whole way my seat recliner system not working staff not helpfull feel lije i paid for budget flight when asked for compensation they offer me 6000 rs and i booked one way flight for 70000 what a joke"
"2024-03-27T22:43:53-04:00","3","review","0","Good, Can be Better!","The positive aspects on my flight were: punctuality, polite and efficient inflight service, ample legroom and sitting space, cleanliness, and food quality.
The weak areas were non-functional screens, lack of content, and rather unruly passengers (one can't blame the carrier for the last point)."
"2024-03-27T08:12:41-04:00","1","review","0","Poor airlines and services","Extremally poor services in flight, aircraft is very old, broken seats, and systems, even the screen don't work, food served on old faded trays. Air India at the time of booking show free 1st date change but when I requested to change they asked for fair difference, free date change is a misleading the travelers."
"2024-03-27T03:42:57-04:00","1","review","0","very unfriendly staff","i booked a flight del to Vancouver and return , the airlines changed the fight timing so my stop over in sanfransico was reduced to 1 min which was not possible to catch flight so i requested for flight changed, but stated asking for penalty and fare difference , but never changed the flight it was there fault not mine, but they insisted  and charged me 300 CAD $"
"2024-03-26T07:11:39-04:00","1","review","0","Disgusting flight","Very disappointed service and even they don’t know the procedure even they don’t know the meaning of SOP. They only cheat customers while booking ticket they don’t want any time of investigation but while boarding they want investigation and after that they don’t refund your ticket. It is totally  a way of earning in a very cheap way. I will never recommend to use this flight. Today my friend has all documents and has valid visa even he has boarding pass but they didnt allow him to travel."
"2024-03-26T04:01:37-04:00","2","review","0","Never travel with kids vey bad experience","If a travelled with two kids staff not supported 
My baby continues crying but air hosted didnt mind
My flight was connecting to bombay to rajkot 
In bombay 
When reached at airport and ask help to stafff they took 600 rs for check in  and check out proccess
Paid for extra meal in flight but they didn’t given my 6 year kid.
All over experience was too hetric
In doha to bombay flight ac not working good we were fully sweating during 3 hr journey 
Never ever travel with your airline 
My luggage also damaged"
"2024-03-25T23:55:47-04:00","1","review","0","Would rather travel by Indian public transport then air India business class","Absolutely disgusting service. They said my seat is broken while I had business class and paid hefty amount for the seat. The lady at the counter said they’d give 75% refund but they have 5000 rs in a coupon for the next time I fly air India, which will never happen!! The plane is broken and old, the service and absolutely disgusting and horrible. Never had a worse experience in my 30 years of flying."
"2024-03-25T03:55:08-04:00","1","review","0","Bad baggage management service","Very bad experience with baggage service, I landed and zero bags were delivered and I had to wait 4 days to receive my baggage. I had an intention to support our India flight being an Indian and my first flight experience is worst experience with Air India"
"2024-03-24T23:57:20-04:00","5","review","0","Air India business class is great value.","I had a bad back prior to taking this trip so wanted to pay extra for a decent flat seat. After reading and watching so many poor reviews for Air India I was nervous about booking with them, but the business class seat price was very reasonable. I’m so glad I did as I couldn’t fault the service. The seats were dated but very comfortable whether upright or in full recline mode. The food was good and the drinks were readily available. The staff were particularly friendly and I was ushered through every business class fast track service on my way through Mumbai to Chennai. Overall, for the same price as a much longer Air France premium economy ticket, I got an excellent deal and would fly with them again."
"2024-03-24T21:54:37-04:00","1","review","0","Still probably the worst airline in Star Alliance","Never flown AI, though have been 25 years on the road. Reason being that AI has always been considered as one of the worst airline in terms of service. Now as TATA took it over, decided to give a quick try on short trip to SIN. First leg verdict is horrible-on half of the plane (787) the entertainment system did not function. Even worst-even the reading lights did not work, as they are using same remote as screen. Everything was broken-table, remote buttons etc). Food was reasonable for 8 H flight, but very tiny portions. Service attitude was miserable-no smiles, no chat. I spoke with crew-they told that for them hardly anything has changes, except it has been getting more strict for them. Currently in the AI lounge in Delhi-this lounge should not bear Star Alliance lounge sign-very miserable food, few soft drinks and today there is NO alcoholic beverages due to some holiday-you must be kidding me. My recommendation-stay away as far as possible on AI, TATA takeover has not changed anything."
"2024-03-24T11:05:43-04:00","1","review","0","Don't ever fly with this filthy airline","Horrible experience,  flight was late 6 hours, everyone waited in the airplane, plane was smelly and dirty. No food was served for those 6 hours. Staff was not helping anyone. Staff didn't clean the washrooms for the whole flight which was 14 hours of flying time plus 6 hours of delay, total of 20 hours.  Do not waste your money on this airline, it is worse thing that ever happened in aviation history"
"2024-03-24T00:36:32-04:00","1","review","0","Horrendous!!!","Aircraft was filthy dirty and smelly. No inflight entertainment. No mixers to go with any alcoholic spirits, therefore only cold drinks available were water and beer. Seats were very uncomfortable and dirty, could not relax as too afraid to put head on headrest as they were so filthy. Never been on such a dirty airline."
"2024-03-23T23:45:05-04:00","2","review","0","Bad experience!","1. The sound system didn't work,
2. The small screen kept on falling down,
3.No salt and pepper on-board,
4.No sanitary kit on-board,
5. The fish served was very dry,
6.Champagne and wines were room temperature,
7.Crew was very nice,"
"2024-03-23T08:24:18-04:00","1","review","1","Most worst experience ever from Air India","My flight had to be from Chennai to Newark via Mumbai. Without any notification this was changed to JFK.
This was neither told by email or text or call. When asked they were talking extremely rude, behaved as though it was my fault.
Truly unethical we need to fight for the stupid mistake done by air India employee. 
I  sitting in Chennai and fighting for last 1 hour."
"2024-03-23T04:22:55-04:00","2","review","0","So many things were not working -","First thing people need to be aware of is that Air India are one the few airlines still flying over Russian air space.

I was on their 787-8 plane, So many things not working, Toilets, Entertainment units, They ran out of meat dishes and gave me the most vile tofu dish instead.

I will never fly Air India again, They sent me an email after my response to their email asking for feedback, they basically admitting how bad they are currently and they investing in new planes ?!  like that is an excuse for giving me such a poor experience, do they seriously thing I'm gonna give them another chance ?!

It made me worry about fact they they are not repairing anything on the inside , So are they maintaining stuff on the outside ?! My confidence on the plane being safe in general was very low especially when I knew we was flying over Russian air space too."
"2024-03-22T22:22:24-04:00","1","review","1","Ratan Tata group but pathetic employee attitude","Tata group and their CEO and Management and all employee thinks its a govt organizatiom, i kept calling their dubai landline number  042079444 around 60-70 times during the working hours of 10 am, but they dare to answer. they dont want to give any service, my husband has gone to their last week and he said its pathetic than any goct office, lady is busy having samosas, the landline is contnously ringing and they dont bother to answer. they did the mistake and update my child ticket as adult and i was unable to do web check in. pathetic service"
"2024-03-22T05:02:27-04:00","3","review","1","Don't fly Air India business for the lounge facilities.","Everything was fine at Heathrow. Plane seats were a bit old and tired but service was good.

The huge disappointment was the Air India Lounge at Delhi Airport. For a national flagship it was shameful. Plenty of seats available, bur the food was grotty, and the drinks selection was rubbish. I was told beer was ""out of stock"". When I asked when they would restock it, blank looks. There was some Indian whiskey and vodka and some nasty looking South African wine. No gin. Mixers limited to coke and Fanta.

Air Astana lounge in Almaty was the worst I've been to, but this ran it close."
"2024-03-22T03:51:38-04:00","1","review","1","Air India Flag Ship Representing India","I recently experienced a 2-hour flight delay with Air India from London to Udaipur, resulting in a missed connecting flight to Udaipur, next flight was 24hrs later. This delay had a significant impact on my travel plans, causing me to miss an important day of a wedding ceremony.

After the inconvenience and disappointment of the delay, I reached out to Air India's customer service to address the situation. While they offered a compensation of £520 as a goodwill gesture, I must express my disappointment with this outcome.

The offered amount does not adequately reflect the extent of the inconvenience, discomfort, and financial loss we experienced due to the delay. They provided 1-star hotel accommodation did not meet basic comfort standards, further adding to the frustration.

I understand that airlines have their policies, but I expected more understanding and consideration given the circumstances. I have tried to negotiate further, but Air India has stated that this is their final offer.

As a customer, I believe that a higher compensation amount would have been more appropriate, considering the impact on my travel plans and the missed event. It is disappointing to feel undervalued as a passenger, especially in a situation that was within the airline's control.

I hope this review serves as feedback for Air India to revaluate their compensation policies for such situations. As a frequent traveller, I expect better customer service and consideration for passengers facing such disruptions.
Pay more and travel by another good Air Line, this cheap flights are ok but when you get a problem no one wants to know you."
"2024-03-21T20:45:54-04:00","1","review","0","Never again ait India in life","I travel from London to Delhi and two hour stay then fly to amritsar 
My bag dint trunk up on time they left us in dehli then I went gate number one she said buy new ticket I was so mad 
Then me and my brother book texi to punjab cost us 20.000 ruppee 
Air india and Delhi air port people very bad people shame these people 
Now I'm booking my new ticket forget airindia 
I'm going back in Virgin airline 
Air India and Indian so stupid"
"2024-03-21T09:00:10-04:00","1","review","1","Horrible and nothing changed! Stain on Tata name","What a horrible experience my mom had traveling from India to UK. The delays were horrible and the entertainment system was off throughout  the flight duration making the 8 hour flight extremely boring. It was an expensive ticket as well. Air India has not changed at all and I would recommend people to stay clear.
She has the exact same experience going to India from UK. The gap between flights was 6 months and exact same issues. Disgrace!"
"2024-03-20T12:03:31-04:00","1","review","1","Aweful experience with Air India","I travelled from Vancouver to New Delhi and back on Air India. The reason I choose the flight was because it is direct and takes 15 hours to reach India. However, the experience was terrible. We were served water/drinks after being on the flight for 5 hours. The TV's and the seat light does not work. The airline staff puts off all the lights for the entire journey, so all you can do is sleep. But for people who can't sleep in the plane, there is nothing to do. No TV and you can't read a book, because your overhead light does not work. The food was terrible. All in all they charge termondously and provide no service. I would not recommend this flight to anyone."
